Restaurant ID,Name,Type of Restaurant,Trip Advisor Rating,TA Review Count,Yellow Pages Rating,YP Review Count,Phone Number,Street Address,Locality,Zipcode,Dollar Costs,Years in Business,Website,Menu URL,Secondary Info,Order Online Status
500,Hill Country Barbecue Market,"['Restaurants', 'American Restaurants', 'Barbecue Restaurants']",4.0,1112.0,,,(212) 255-4544,30 W 26th St,"New York, NY 10010",10010,Average,16.0,,https://www.yellowpages.com/new-york-ny/mip/hill-country-barbecue-market-892686#open-menu,From Business: Hill Country honors the barbecue and live music capital of Texas and takes its “cue” from the legendary meat-markets-turned- barbecue-joints of Central Texas…,1
501,Pongal,"['Restaurants', 'Indian Restaurants', 'Vegetarian Restaurants']",4.0,194.0,,,(212) 696-9458,110 Lexington Ave,"New York, NY 10016",10016,Average,27.0,http://www.pongalnyc.com,https://www.yellowpages.com/new-york-ny/mip/pongal-808227#open-menu,From Business: Indian Vegetarian and Certified Kosher Restaurant that has been around for 16+ years in NYC and reviewed by New York Times.We have been providing delicious South…,1
502,Maison Premiere,"['Restaurants', 'American Restaurants', 'French Restaurants']",4.5,343.0,,,(347) 335-0446,298 Bedford Ave,"Brooklyn, NY 11249",11249,Average,,http://www.maisonpremiere.com,https://www.yellowpages.com/brooklyn-ny/mip/maison-premiere-465512926#open-menu,From Business: New Orleans style absinthe and oyster barNew Orleans style absinthe and oyster bar,0
503,Eatery,"['Restaurants', 'Family Style Restaurants', 'Seafood Restaurants']",,,,,(212) 765-3269,798 9th Ave,"New York, NY 10019",10019,Average,23.0,http://www.eaterynyc.com,https://www.yellowpages.com/new-york-ny/mip/eatery-9888337#open-menu,,0
504,Uncle Jack's Steakhouse,"['Restaurants', 'Steak Houses']",,,,,(212) 245-1550,44 W 56th St,"New York, NY 10019",10019,Average,93.0,http://www.unclejacks.com,https://www.yellowpages.com/new-york-ny/mip/uncle-jacks-steakhouse-3858747#open-menu,,1
505,Taboon,"['Restaurants', 'Middle Eastern Restaurants', 'Take Out Restaurants']",,,,,(212) 713-0271,773 10th Ave,"New York, NY 10019",10019,High,20.0,http://www.taboononline.com,https://www.yellowpages.com/new-york-ny/mip/taboon-3126268#open-menu,,0
506,Bistro Cassis & Cassis,"['Restaurants', 'French Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",,,,,(212) 579-3966,225 Columbus Ave,"New York, NY 10023",10023,High,17.0,,https://www.yellowpages.com/new-york-ny/mip/bistro-cassis-cassis-3794288#open-menu,,0
507,Frankies 570 Spuntino,"['Restaurants', 'Italian Restaurants']",,,,,(212) 924-0818,570 Hudson St,"New York, NY 10014",10014,,12.0,http://www.frankiesspuntino.com,https://www.yellowpages.com/new-york-ny/mip/frankies-570-spuntino-466730845#open-menu,,0
508,Petrarca Cucina e Vino,"['Restaurants', 'Italian Restaurants', 'Pizza']",4.0,187.0,,,(212) 625-2800,34 White St,"New York, NY 10013",10013,Average,11.0,http://www.petrarcatribeca.com,https://www.yellowpages.com/new-york-ny/mip/petrarca-cucina-e-vino-10924103#open-menu,,0
509,Double Hey Restaurant,"['Restaurants', 'Asian Restaurants', 'Family Style Restaurants']",,,,,(212) 374-1312,81 Mott St,"New York, NY 10013",10013,Low,45.0,http://www.hoywongrestaurantnyc.com,https://www.yellowpages.com/new-york-ny/mip/double-hey-restaurant-471015712#open-menu,,0
510,Golden Sand Seafood Restaurant,"['Restaurants', 'Seafood Restaurants', 'Family Style Restaurants']",,,,,(212) 233-3359,39 E Broadway,"New York, NY 10002",10002,High,,,https://www.yellowpages.com/new-york-ny/mip/golden-sand-seafood-restaurant-450831098#open-menu,,0
511,Dona Bella Pizza,"['Restaurants', 'Pizza', 'Italian Restaurants']",,,,,(212) 374-1130,154 Church St,"New York, NY 10007",10007,,,http://www.donabellapizzanyc.com,,,1
512,Lombardi's,"['Restaurants', 'Pizza', 'Take Out Restaurants']",4.0,4916.0,"['four', 'half']",11.0,(212) 941-7994,32 Spring St,"New York, NY 10012",10012,Average,126.0,http://www.firstpizza.com,https://www.yellowpages.com/new-york-ny/mip/lombardis-531159833#open-menu,"We had to wait a little bit… But it was worth the wait! You feel like you're in Italy inside the restaurant. The pizza was delicious!!!!""",0
513,Wo Hop,"['Restaurants', 'Chinese Restaurants', 'Family Style Restaurants']",4.0,1143.0,"['four', 'half']",7.0,(212) 267-2536,17 Mott St,"New York, NY 10013",10013,Average,47.0,http://www.wohop15.com,https://www.yellowpages.com/new-york-ny/mip/wo-hop-8146532#open-menu,"Do not believe ANY of the negative reviews. They are ALL lies. We have been going there once, twice or 3 times a month for 8-10 years and have never had a bad dish or…",0
514,Doughnut Plant,"['Restaurants', 'American Restaurants']",4.5,837.0,['five'],4.0,(212) 505-3700,379 Grand St,"New York, NY 10002",10002,Average,24.0,http://www.doughnutplant.com,,"If I have to choose which donut store I will put in my top 10 list, this will definitely make it in! Fresh donuts, varities and great athmosphere.""",1
515,La Lanterna di Vittorio,"['Restaurants', 'Coffee Shops', 'Italian Restaurants']",4.5,382.0,"['four', 'half']",4.0,(212) 529-5945,129 Macdougal St,"New York, NY 10012",10012,Average,34.0,http://www.lalanterna.nyc,https://www.yellowpages.com/new-york-ny/mip/la-lanterna-di-vittorio-22251542#open-menu,"great REAL italian pizza for low prices, with a lovely garden to sit in the back. don't miss this place b.c there are lots of other italian restaurants that will charge twice…",1
516,Corner Bistro,"['Restaurants', 'American Restaurants', 'Bars']",4.0,1095.0,"['four', 'half']",4.0,(212) 242-9502,331 W 4th St,"New York, NY 10014",10014,Low,62.0,http://www.cornerbistrony.com,https://www.yellowpages.com/new-york-ny/mip/corner-bistro-5645173#open-menu,"A nice corner bistro to satisfy all your hunger needs.""",1
517,Del Frisco's Double Eagle Steakhouse,"['Restaurants', 'Steak Houses', 'Fine Dining Restaurants']",4.5,3436.0,['five'],3.0,(212) 575-5129,1221 Avenue Of The Americas,"New York, NY 10020",10020,Very High,23.0,https://www.delfriscos.com/location/del-friscos-double-eagle-steakhouse-new-york-ny,https://www.yellowpages.com/new-york-ny/mip/del-friscos-double-eagle-steakhouse-496644035#open-menu,"One of the best steakhouses in New York City.  Very busy during the week. Had a large filet ...cooked to perfection.""",0
518,The Village Pour House,"['Restaurants', 'Bars', 'Bar & Grills']",,,,,(212) 979-2337,64 3rd Ave,"New York, NY 10003",10003,,,http://www.villagepourhouse.com,,"Come to the Pourhouse to watch a game with friends- it is a lot of fun, no one is going to tell you to quiet down- and you can eat some good bar food while you are there. The…",0
519,Doc Watson's,"['Restaurants', 'American Restaurants', 'Caterers']",4.0,49.0,['five'],3.0,(212) 988-5300,1490 2nd Ave,"New York, NY 10075",10075,Average,27.0,http://www.docwatsons.com,https://www.yellowpages.com/new-york-ny/mip/doc-watsons-2856669#open-menu,Doc Watson's is one of the most popular gathering places for residents of the Upper East Side. The restaurant is the perfect blend of an Irish pub and American dining. Live…,1
520,Cafe Du Soleil,"['Restaurants', 'French Restaurants', 'Caterers']",4.0,184.0,['five'],3.0,(212) 316-5000,2723 Broadway,"New York, NY 10025",10025,Average,18.0,http://www.cafedusoleilnewyork.com,https://www.yellowpages.com/new-york-ny/mip/cafe-du-soleil-2928905#open-menu,"Great food and service. Mussels and French fries excellent. My husband had the Coq au Vin which was perfect.""",1
521,Little Taste of Seafood,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets']",,,,,(917) 265-8430,2528 Adam Clayton Powell Jr Blvd,"New York, NY 10039",10039,,,,,"The restaurant is clean and the food is GREAT! The owner and staff are so welcoming...its the best seafood spot in Manhattan.""",0
522,FilStop,"['Restaurants', 'Asian Restaurants']",,,,,(201) 963-0455,683 Newark Ave,"Jersey City, NJ 07306",07306,,50.0,http://www.filstop.com,,"Excellent products quality, price and quick delivery to us the customers. Thank you for being such an excellent store""",0
523,Max Brenner,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",4.0,2060.0,"['four', 'half']",4.0,(646) 467-8803,841 Broadway,"New York, NY 10003",10003,Average,13.0,http://www.maxbrenner.com,https://www.yellowpages.com/new-york-ny/mip/max-brenner-468574656#open-menu,"I gotta tell you, I have never tasted chocolate so good. The chocolate pizza and foundu are my most loved items. This restaurant is a little on the expensive side so be…",0
524,Alice's Tea Cup,"['Restaurants', 'Coffee Shops', 'Coffee & Tea']",4.0,664.0,"['four', 'half']",3.0,(212) 799-3006,102 W 73rd St,"New York, NY 10023",10023,,22.0,http://www.alicesteacup.com,https://www.yellowpages.com/new-york-ny/mip/alices-tea-cup-7275840#open-menu,"I love the variety in their flavors. The tea is natural and there are amazing combinations. I'm not a milk tea fan before, but now I gues I am.""",0
525,The Grey Dog,"['Restaurants', 'Coffee & Espresso Restaurants', 'American Restaurants']",4.5,72.0,"['four', 'half']",3.0,(212) 462-0041,49 Carmine St,"New York, NY 10014",10014,Average,27.0,http://www.thegreydog.com,https://www.yellowpages.com/new-york-ny/mip/the-grey-dog-5273682#open-menu,"I ordered a generous cappuccino, and it was just what I needed on a rainy day. While I'm not a regular espresso drinker, I found it to be a good cup, especially because I…",0
526,Eataly,"['Restaurants', 'Italian Restaurants', 'Gourmet Shops']",4.5,1090.0,"['four', 'half']",3.0,(212) 229-2560,200 5th Ave,"New York, NY 10010",10010,High,13.0,http://www.eataly.com/nyc-birreria,https://www.yellowpages.com/new-york-ny/mip/eataly-471098476#open-menu,"one of my favourite places""",0
527,El Farolito Buffet & Restaurant,"['Restaurants', 'Mexican Restaurants', 'Buffet Restaurants']",,,,,(201) 330-9015,4116 Bergenline Ave,"Union City, NJ 07087",07087,,,https://www.facebook.com/elfarolitobuffet,,Desafortunadamente algunas cosas salen de nuestro control y no nos habiamos percatado ! es una pena para aquellas personas a quienes les hemos quedado mal. Con mucho gusto les…,0
528,Union Pool,"['Restaurants', 'Barbecue Restaurants', 'Bars']",,,,,(718) 609-0484,484 Union Ave,"Brooklyn, NY 11211",11211,Average,22.0,https://www.union-pool.com,,"where do I begin, I've been coming to this place for about 7 years now, and Its the best bar in Brooklyn. The taco truck at up is great for those drunken nights. Surprisingly I…",0
529,Hard Rock Cafe,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",4.0,9283.0,['four'],4.0,(212) 343-3355,1501 Broadway,"New York, NY 10036",10036,,52.0,https://www.hardrockcafe.com/location/new-york/#utm_source=rest_of_network&utm_medium=Yext&utm_campaign=Listings,https://www.yellowpages.com/new-york-ny/mip/hard-rock-cafe-374819#open-menu,"Tasty food here and beer. It was amazing diner""",1
530,Solo Pizza,"['Restaurants', 'Pizza', 'Caterers']",4.0,12.0,['four'],4.0,(212) 420-7656,27 Avenue B,"New York, NY 10009",10009,Low,16.0,http://www.solopizzanyc.com,https://www.yellowpages.com/new-york-ny/mip/solo-pizza-12271154#open-menu,"This is outstanding pizza. 100% Italian. We are from Colorado visiting New York for couple weeks, my husband is Italian so we have appritiation for good pizza. Me and my kids …",1
531,Agave,"['Restaurants', 'Latin American Restaurants', 'Caterers']",4.0,214.0,"['four', 'half']",3.0,(212) 989-2100,140 7th Ave S,"New York, NY 10014",10014,Average,21.0,,https://www.yellowpages.com/new-york-ny/mip/agave-462981219#open-menu,Amazing experience. First time in NYC and me and my sister from West Palm Beach had brunch here on NYE. It was the BEST brunch I’ve ever had being that I frequently go to lunch…,0
532,Coffee Shop,"['Restaurants', 'Coffee & Espresso Restaurants', 'Coffee Shops']",,,,,(212) 243-7969,29 Union Sq W,"New York, NY 10003",10003,Low,39.0,http://thecoffeeshopnyc.com,https://www.yellowpages.com/new-york-ny/mip/coffee-shop-6701636#open-menu,"The baristas and staffs here are so welcoming and they always greet you with a smile. I love this place because of that, in addition to their great coffees.""",1
533,De Palma Pizzeria & Ristorante,"['Restaurants', 'Pizza', 'Caterers']",3.0,7.0,"['four', 'half']",3.0,(201) 864-8877,1814 New York Ave,"Union City, NJ 07087",07087,Average,24.0,http://www.depalmapizza.com,https://www.yellowpages.com/union-city-nj/mip/de-palma-pizzeria-ristorante-4000350#open-menu,"I have been going to de Palma's for over 10 YEARS!!! Their pizza is awesome. The service is great. Try the manicotti its to die!!!""",1
534,Sea Thai Restaurant,"['Restaurants', 'Thai Restaurants', 'Family Style Restaurants']",4.0,412.0,"['four', 'half']",3.0,(718) 384-8850,114 N 6th St,"Brooklyn, NY 11249",11249,Average,28.0,http://www.seathainyc.com,https://www.yellowpages.com/brooklyn-ny/mip/sea-thai-restaurant-467211348#open-menu,"LOVE IT! FOOD IS GREAT, REASONABLY PRICED AND THE STAFF IS FRIENDLY... CAN BE A LONG WAIT ON THE WEEKENDS BUT WORTH IT!""",1
535,Bill's Bar & Burger,"['Restaurants', 'Hamburgers & Hot Dogs', 'Take Out Restaurants']",,,,,(212) 705-8510,16 W 51st St,"New York, NY 10020",10020,Average,14.0,http://www.billsbarandburger.com,https://www.yellowpages.com/new-york-ny/mip/bills-bar-burger-480272766#open-menu,While my husband and I were on vacation in NYC from Australia we are at a restaurant  who told us their food was Celiac free. I suffer from Celiac disease. We walked into…,1
536,Zucca Trattoria Incorporated,"['Restaurants', 'Italian Restaurants', 'Fine Dining Restaurants']",,,,,(212) 255-1980,95 7th Ave S,"New York, NY 10014",10014,,14.0,,,"My sister recommended Zucca to me for a relaxing wining and dining ""Saturday date night"" out with my husband and  I have to say she was right!  Everyone was so kind…",0
537,Manducati's,"['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']",4.5,45.0,['four'],3.0,(718) 729-4602,1327 Jackson Ave,"Long Island City, NY 11101",11101,Average,43.0,http://www.manducatis.com/contact-us,https://www.yellowpages.com/long-island-city-ny/mip/manducatis-6910215#open-menu,"bring your appitite, pasta is fab and you wont leave hungry!""",0
538,Bhatti Indian Grill,"['Restaurants', 'Indian Restaurants', 'Asian Restaurants']",4.0,232.0,['five'],2.0,(212) 683-4228,100 Lexington Ave,"New York, NY 10016",10016,Average,15.0,http://www.bhattinyc.com,https://www.yellowpages.com/new-york-ny/mip/bhatti-indian-grill-483905340#open-menu,"Best place for Indian food... Husain uncle is at best in serving the food.""",1
539,Gramercy Tavern,"['Restaurants', 'American Restaurants', 'Taverns']",4.5,3764.0,['five'],2.0,(212) 477-0777,42 E 20th St Frnt A,"New York, NY 10003",10003,Very High,30.0,http://www.gramercytavern.com,https://www.yellowpages.com/new-york-ny/mip/gramercy-tavern-4295055#open-menu,"Absolutely amazing!Fine dinning at its best!Prefix menu, great food, amazing service and a wonderful dinning experience  One of the best dinning experiences I've ever had. If…",0
540,Good Enough to Eat,"['Restaurants', 'American Restaurants', 'Pizza']",4.0,791.0,['five'],2.0,(212) 496-0163,520 Columbus Ave,"New York, NY 10024",10024,Average,42.0,http://www.goodenoughtoeat.com,https://www.yellowpages.com/new-york-ny/mip/good-enough-to-eat-481122116#open-menu,"It was the best french toast I have had! Excellent service, tasty food, clean, good prices... no complains at all!""",1
541,Bubby's,"['Restaurants', 'Barbecue Restaurants', 'Caterers']",4.5,1637.0,['five'],2.0,(212) 219-0666,120 Hudson St,"New York, NY 10013",10013,Average,33.0,http://www.bubbys.com,https://www.yellowpages.com/new-york-ny/mip/bubbys-3705727#open-menu,"Bubby's... sounds comforting, doesn't it?  It is!  Have been coming here for breakfast and lunch for a long time.  It is always good and the prices are reasonable.  The staff…",1
542,Sal's Pizzeria,"['Restaurants', 'Pizza', 'Caterers']",4.0,6.0,['five'],2.0,(201) 868-1999,6127 Bergenline Ave,"West New York, NJ 07093",07093,Low,51.0,http://www.salspizzeriabar.com,https://www.yellowpages.com/west-new-york-nj/mip/sals-pizzeria-1981781#open-menu,"This place is an institution in West New York.   Not only is the pizza exceptional, Dom and Rocky happen to offer many family dishes including a wide variety of soups, salads,…",1
543,Butcher Bar,"['Restaurants', 'Barbecue Restaurants', 'Bars']",4.5,330.0,['five'],2.0,(718) 606-8140,3708 30th Ave,"Astoria, NY 11103",11103,Average,12.0,http://www.butcherbar.com,https://www.yellowpages.com/astoria-ny/mip/butcher-bar-471103530#open-menu,"Holy beef! The burnt ends were crazy good! They have on display a check by Coca Cola and a trophy which is well deserved.""",1
544,Via Italia Restaurant,"['Restaurants', 'Italian Restaurants']",3.5,299.0,['five'],2.0,(212) 398-6866,45 W 46th St,"New York, NY 10036",10036,Average,32.0,,https://www.yellowpages.com/new-york-ny/mip/via-italia-restaurant-3378627#open-menu,"Loved this place Great food Wonderful service""",0
545,Jackson Hole Burgers,"['Restaurants', 'Hamburgers & Hot Dogs', 'Family Style Restaurants']",4.5,636.0,['five'],2.0,(212) 679-3264,521 3rd Ave Frnt 5,"New York, NY 10016",10016,Average,51.0,http://www.jacksonholeburgers.com,https://www.yellowpages.com/new-york-ny/mip/jackson-hole-burgers-4868469#open-menu,"Jackson Hole is definitely one of my favorite restaurants in the city. Whenever someone asks me to recommend a place to eat, this is always the first one that comes to mind.…",1
546,Rock II,"['Restaurants', 'Pizza', 'Italian Restaurants']",4.0,30.0,['five'],2.0,(212) 683-4080,607 2nd Ave,"New York, NY 10016",10016,,12.0,http://www.rockyspizzanyc.com,https://www.yellowpages.com/new-york-ny/mip/rock-ii-496578715#open-menu,"I consider myself a pizza expert, because I basically eat it everyday.Rocky's II in Murray Hill is probably the place to get slices. The pasta dishes, particularly the baked…",1
547,Cafe Luka,"['Restaurants', 'Coffee Shops', 'Caterers']",4.0,107.0,['five'],2.0,(212) 585-2205,1319 1st Ave,"New York, NY 10021",10021,Average,25.0,http://www.delivery.com/cities/nyc/categories/restaurant/cafe-luka,https://www.yellowpages.com/new-york-ny/mip/cafe-luka-10049489#open-menu,"Good food close to hospital for Special Surgery. Needed in this area because others serve processed food""",1
548,Pizzeria Sirenetta,"['Restaurants', 'Pizza', 'Italian Restaurants']",,,,,(212) 799-7401,568 Amsterdam Ave,"New York, NY 10024",10024,Low,11.0,http://www.pizzeriasirenetta.com,https://www.yellowpages.com/new-york-ny/mip/pizzeria-sirenetta-534543277#open-menu,"great pizza great wings quick service""",1
549,Famous Famiglia Pizzeria,"['Restaurants', 'Pizza', 'Take Out Restaurants']",4.0,32.0,['five'],2.0,(212) 864-7193,734 Amsterdam Ave,"New York, NY 10025",10025,Low,,http://www.famousfamiglia.com,https://www.yellowpages.com/new-york-ny/mip/famous-famiglia-pizzeria-579315#open-menu,"Beyond the pizza itself, Famous Famiglia offered a comfortable and casual ambiance, capturing the essence of a classic pizzeria. The bustling yet welcoming atmosphere added to…",1
550,Nom Wah Tea Parlor,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",4.0,1001.0,['five'],2.0,(212) 962-6047,13 Doyers St,"New York, NY 10013",10013,Low,,http://www.nomwah.com,https://www.yellowpages.com/new-york-ny/mip/nom-wah-tea-parlor-7513848#open-menu,"My husband and I visited Nom Wah over Memorial Day weekend (2014).  It came highly recommended, and we waited in line about 45 minutes for a table (spend your time reading…",1
551,Penthouse 808,"['Restaurants', 'Asian Restaurants']",3.5,219.0,['five'],2.0,(718) 289-6118,808 Queens Plz S,"Long Island City, NY 11101",11101,High,,http://penthouse808rooftop.com,https://www.yellowpages.com/long-island-city-ny/mip/penthouse-808-360362#open-menu,"I had an awesome time at Penthouse 808.  It’s a hidden gem, great atmosphere. The service is incredible; waiters are so friendly and helpful. My favorite drink was the sangria…",0
552,Restaurant Brisas Del Caribe,"['Restaurants', 'Family Style Restaurants']",,,,,(201) 867-2959,2417 Bergenline Ave,"Union City, NJ 07087",07087,Average,,,,"Muy buena comida mi familia y yo lo visitamos con frecuencia ya que tienen buen sabor y buena higiene""",0
553,Meet The Meat,"['Restaurants', 'Steak Houses']",4.5,29.0,['five'],2.0,(917) 832-7984,2392 21st St,"Astoria, NY 11105",11105,High,8.0,http://meetthemeat.net,https://www.yellowpages.com/astoria-ny/mip/meet-the-meat-509580758#open-menu,"Steak lovers paradise! The medium rare Porterhouse steak for two was cooked to perfection. It was so delicious that I can't even compare it with the Peter Lugers one, which is…",0
554,Bruckner Bar & Grill,"['Restaurants', 'Barbecue Restaurants', 'American Restaurants']",,,,,(718) 665-2001,2412 3rd Ave,"Bronx, NY 10454",10454,Average,,,https://www.yellowpages.com/bronx-ny/mip/bruckner-bar-grill-1307449#open-menu,This place is such a pleasant surprise!  I couldn't believe how amazing the food & service was.  The atmosphere was hip and artisy; great background music.  The crowd was…,0
555,Louie's BBQ Pit,"['Restaurants', 'Barbecue Restaurants', 'Caterers']",,,,,(201) 974-8848,5107 Palisade Ave,"West New York, NJ 07093",07093,Average,19.0,,https://www.yellowpages.com/west-new-york-nj/mip/louies-bbq-pit-482156557#open-menu,"Food is excellent  smoked chicken and ribs that no one else has pulled pork sandwich was tasty as was the brisket""",1
556,Great Wok,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",3.0,4.0,"['three', 'half']",3.0,(201) 866-7815,1101 Summit Ave Ste A,"Union City, NJ 07087",07087,Low,29.0,https://www.greatwokchinesesecaucus.com,https://www.yellowpages.com/union-city-nj/mip/great-wok-15961721#open-menu,"We like to rate taste, service delivery, cost, and quality and quantity of food. I was pleased that the person that took the order over the phone actually understood what I…",1
557,Hong Kong Chinese Restaurant,"['Restaurants', 'Chinese Restaurants', 'Take Out Restaurants']",,,,,(201) 332-1841,59 Baldwin Ave,"Jersey City, NJ 07306",07306,Low,30.0,http://www.hongkongharvard.com,https://www.yellowpages.com/jersey-city-nj/mip/hong-kong-chinese-restaurant-8288751#open-menu,"yummy foods in this area. comparing to other restaurants around my neighbor, it serves better in food taste and smiles ... it worth to give it a try!""",1
558,Blue Ribbon Sushi Bar & Grill - Columbus Circle,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",4.5,365.0,"['four', 'half']",2.0,(212) 397-0404,308 W. 58th Street 6 Columbus Hotel,"New York, NY 10019",10019,High,14.0,https://www.blueribbonsushibarandgrillnyc.com,https://www.yellowpages.com/new-york-ny/mip/blue-ribbon-sushi-bar-grill-columbus-circle-6962437#open-menu,"best sushi ever!!!!!!! i love the spicy mayo sauce too""",0
559,Gonzalez y Gonzalez,"['Restaurants', 'Mexican Restaurants', 'Bars']",3.5,71.0,"['four', 'half']",2.0,(212) 473-7878,192 Mercer St,"New York, NY 10012",10012,Average,34.0,http://www.gygnyc.com,https://www.yellowpages.com/new-york-ny/mip/gonzalez-y-gonzalez-480197017#open-menu,"awesome, family friendly gem, in the heart of Greenwich Village! The food is the best in New York City, the drinks are fantastic. We loved the music and the feeling that we…",1
560,Marabella Pizza,"['Restaurants', 'Pizza', 'Italian Restaurants']",4.0,28.0,"['four', 'half']",2.0,(718) 786-4635,4107 Greenpoint Ave,"Sunnyside, NY 11104",11104,Low,13.0,http://www.marabellapizza.com,https://www.yellowpages.com/sunnyside-ny/mip/marabella-pizza-28671060#open-menu,"This place provides a great eating experience as well as great quality food! This place is highly recommended by me and my family""",1
561,Mariella Pizza,"['Restaurants', 'Pizza', 'Italian Restaurants']",4.5,25.0,"['four', 'half']",2.0,(212) 319-5999,965 Lexington Ave,"New York, NY 10021",10021,Low,17.0,http://mariellapizzauppereast.com/food-delivery-TW/mariella-pizza-new-york-city.18023.r?QueryStringValue=5LQmAO3JQ2vkGvJBRSdWaA==,https://www.yellowpages.com/new-york-ny/mip/mariella-pizza-481387560#open-menu,I have had the privilege of obtaining this minor jewel of a pizzeria. The charges are exceptional for delivery or carry-out. The pizza high-quality is fairly excellent given…,1
562,Benito One,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",4.0,1501.0,['three'],4.0,(212) 226-9171,174 Mulberry St Frnt A,"New York, NY 10013",10013,,39.0,http://www.benitoone.com,,Excellent place in Little Italy!We ate here with a party of 10. We arrived 30 minutes early and they were ready to seat us. Sat outside and enjoyed the scene as Mulberry is…,0
563,Skylight Diner,"['Restaurants', 'American Restaurants', 'Coffee Shops']",4.0,859.0,"['three', 'half']",3.0,(212) 244-0395,402 W 34th St,"New York, NY 10001",10001,Average,34.0,http://www.skylightdinernyc.com,https://www.yellowpages.com/new-york-ny/mip/skylight-diner-4029128#open-menu,"West of  9th Ave., ordered spicy delicious huevos rancheros...sure did the trick for me.  Waitress very friendly n attentive to us...will b back.""",1
564,Vynl,"['Restaurants', 'American Restaurants', 'Thai Restaurants']",,,,,(212) 974-2003,754 9th Ave,"New York, NY 10019",10019,Average,28.0,,https://www.yellowpages.com/new-york-ny/mip/vynl-481577167#open-menu,"Best place in Hell's Kitchen for casual, yet delicious dining.  The staff is always friendly & the food always good.  And there is a wide variety to choose from.""",1
565,Central Park-Loeb Boathouse,"['Restaurants', 'American Restaurants']",,,,,(212) 517-2233,72 Park Ave,"New York, NY 10016",10016,,151.0,http://thecentralparkboathouse.com,,"Best activity so far. $15 for an hour rowing in Central Park!  Views, relaxation. And a little workout.""",0
566,Christinas,"['Restaurants', 'Italian Restaurants']",,,,,(646) 233-3675,606 2nd Ave,"New York, NY 10016",10016,Average,,,https://www.yellowpages.com/new-york-ny/mip/christinas-473214040#open-menu,Super unique. Presidential Pizza was owned by Very successful Muja Brothers for 5 years It become exceptional and unique under this family. Now Presidential Pizza has new owner…,0
567,Dahan Number One Chinese Restaurant,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",3.0,1.0,['four'],2.0,(201) 433-3055,750 W Side Ave,"Jersey City, NJ 07306",07306,Low,37.0,,https://www.yellowpages.com/jersey-city-nj/mip/dahan-number-one-chinese-restaurant-8969051#open-menu,"Delivery was as expected and the food was delicious, Would definitely recommendthis restaurant as their service is excellent!""",1
568,Benihana,"['Restaurants', 'Japanese Restaurants', 'Sushi Bars']",3.5,786.0,"['two', 'half']",5.0,(212) 581-0930,47 W 56th St,"New York, NY 10019",10019,High,59.0,https://www.benihana.com,,"I had a very nice first experience at this Benihana location thanks to our chef, Devin. He was courteous, entertaining, and, most all, very professional. There was an obnoxious…",0
569,China Chef,"['Restaurants', 'Chinese Restaurants', 'Caterers']",3.5,22.0,"['two', 'half']",5.0,(201) 348-6386,1322 Paterson Plank Rd # 3708,"Secaucus, NJ 07094",07094,Average,22.0,http://www.chinachefsecaucus.com,https://www.yellowpages.com/secaucus-nj/mip/china-chef-6706957#open-menu,"We order from China Chef all the time.  We do, however, pick up our order, but it doesn't matter how many meals we order at one time, they have never made a mistake.  Our order…",1
570,Garden Pizza,"['Restaurants', 'Pizza', 'Take Out Restaurants']",4.0,11.0,['three'],3.0,(201) 941-8510,153 Bergen Blvd,"Fairview, NJ 07022",07022,Average,21.0,http://www.gardenpizzanj.com/Location.tpl,,"pizza is excellent ny style pizza, have catered many office parties, super bowl parties  and all feel the  food is great. the owners produces what people want --their moneys…",1
571,Pizza Corner,"['Restaurants', 'Pizza', 'Italian Restaurants']",4.5,3.0,['two'],5.0,(201) 945-9347,589 Anderson Ave,"Cliffside Park, NJ 07010",07010,Low,19.0,http://www.pizzacornernj.com,https://www.yellowpages.com/cliffside-park-nj/mip/pizza-corner-7666823#open-menu,"I have tried many Pizza Shops in Bergen County, none of them compare to your thin crust new york style pizza. I luv Pizza Club.""",1
572,Napolis,"['Restaurants', 'Pizza', 'Italian Restaurants']",4.0,96.0,"['three', 'half']",2.0,(201) 216-0900,1118 Washington St,"Hoboken, NJ 07030",07030,Low,16.0,http://www.napolishobokenpizza.com,https://www.yellowpages.com/hoboken-nj/mip/napolis-1837817#open-menu,"I just moved to hoboken,ive been asking around where to get a good pizza pie.most people have said to try napolis at 1118 washington st.They couldnt be more right,i ordered a…",1
573,Park Avenue Tavern,"['Restaurants', 'American Restaurants', 'Pizza']",4.0,545.0,['five'],1.0,(212) 867-4484,99 Park Ave,"New York, NY 10016",10016,Average,13.0,http://www.parkavenuetavern.com,https://www.yellowpages.com/new-york-ny/mip/park-avenue-tavern-462465186#open-menu,"Great place.  Fun people.   Fantastic food""",1
